Date,Operator,A/C Type,Location,Crew on board,Crew fatalities,PAX on board,PAX fatalities,Total on board,Total fatalities,Flight Type,Flight Phase,Continent,Year,Probable Causes
27-Apr-20,Compagnie Generale TRANSAERIENNE,Nieuport-Delage NiD-30,"The Channel, All World",1,1,0,0,1,1,Postal,Flight,Europe,1920,Unknown Reasons
15-Sep-23,Armée De L'Air,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",0,0,0,0,0,0,Scheduled Revenue Flight,Flight,Europe,1923,Technical Factors
24-Apr-24,KLM,Fokker F3,"North Sea, All World",1,1,2,2,3,3,Scheduled Revenue Flight,Flight,Europe,1924,Technical Factors
21-Aug-24,Regia Aeronautica,Dornier DO J wal,"Atlantic Ocean, All World",5,0,0,0,5,0,Private,Flight,North America,1924,Technical Factors
9-Feb-25,Compagnie Générale d'Enterprises Aéronatiques,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",2,0,0,0,2,0,Postal,Flight,Africa,1925,Technical Factors
11-Apr-25,Compagnie Générale d'Enterprises Aéronatiques,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",2,0,0,0,2,0,Postal,Flight,Europe,1925,Technical Factors
14-Apr-25,Compagnie Générale d'Enterprises Aéronatiques,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",2,0,0,0,2,0,Postal,Flight,Africa,1925,Technical Factors
10-Sep-25,Compagnie Générale d'Enterprises Aéronatiques,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",0,0,0,0,0,0,Postal,Flight,Africa,1925,Unknown Reasons
19-Dec-25,Compagnie Générale d'Enterprises Aéronatiques,Lioré-et-Olivier LeO H-13,"Mediterranean Sea, All World",2,0,0,0,2,0,Postal,Flight,Africa,1925,Technical Factors
21-May-26,Norsk Luftseiladsforening,Dornier DO J wal,"Arctic, All World",3,0,0,0,3,0,Private,Landing,Antartica,1926,Technical Factors
31-May-26,Air Union,Breguet 14,"The Channel, All World",1,1,0,0,1,1,Postal,Flight,Europe,1926,Disappeared Without Trace
21-Oct-26,Imperial Airways,Handley Page H.P.30,"The Channel, All World",2,0,10,0,12,0,Scheduled Revenue Flight,Flight,Europe,1926,Technical Factors
5-May-27,Société Générale des Transports Aériens - SGTA,Farman F.60 Goliath,"Atlantic Ocean, All World",4,4,0,0,4,4,Private,Flight,South America,1927,Disappeared Without Trace
9-May-27,Private Prive,Levasseur PL.8,"Atlantic Ocean, All World",2,2,0,0,2,2,Private,Flight,Unknown,1927,Disappeared Without Trace
16-Aug-27,Private Prive,Buhl CA-5 AirSedan,"Pacific Ocean, All World",2,2,1,1,3,3,Private,Flight,Unknown,1927,Technical Factors
16-Aug-27,Private Prive,Lockheed 1 Vega,"Pacific Ocean, All World",2,2,0,0,2,2,Private,Flight,North America,1927,Disappeared Without Trace
19-Aug-27,Private Prive,British Aircraft Swallow,"Pacific Ocean, All World",2,2,0,0,2,2,Private,Flight,North America,1927,Human Errors
31-Aug-27,Private Prive,Fokker F7,"Atlantic Ocean, All World",2,2,1,1,3,3,Private,Flight,North America,1927,Unknown Reasons
7-Sep-27,CARLING,Stinson SM-1 Detroiter,"Atlantic Ocean, All World",2,2,0,0,2,2,Private,Flight,Unknown,1927,Disappeared Without Trace
7-Sep-27,Private Prive,Fokker F7,"Atlantic Ocean, All World",2,2,1,1,3,3,Private,Flight,North America,1927,Unknown Reasons
12-Oct-27,Private Prive,Stinson SM-1 Detroiter,"Atlantic Ocean, All World",1,0,1,0,2,0,Private,Flight,Europe,1927,Technical Factors
10-Jan-28,Private Prive,Ryan B-1 Brougham,"Tasman Sea, All World",2,0,0,0,2,2,Private,Flight,Australia & Oceania,1928,Disappeared Without Trace
13-Mar-28,Private Prive,Stinson SM-1 Detroiter,"Atlantic Ocean, All World",1,1,1,1,2,2,Private,Flight,Europe,1928,Disappeared Without Trace
18-Jun-28,Private Prive,Latham47,"Barents Sea, All World",4,4,2,2,6,6,Private,Flight,Europe,1928,Unknown Reasons
1-Aug-28,Private Prive,Dornier DO J wal,"Atlantic Ocean, All World",3,0,0,0,3,0,Private,Flight,Unknown,1928,Technical Factors
